,title,release_date,genre_ids,vote_average,vote_count,popularity,id
205,Teen Beach 2,2015-06-26,"[10770, 10751, 35, 14]",6.758,562,13.267,325189
206,Deathgasm,2015-10-02,"[35, 27, 10402]",6.291,559,11.366,323373
207,Area 51,2015-05-15,"[27, 878, 9648]",4.927,554,13.148,57876
208,Some Kind of Beautiful,2015-08-21,"[35, 10749]",5.638,547,12.801,253344
209,Justice League: Gods and Monsters,2015-07-14,"[28, 16, 14]",7.11,537,18.096,323027
210,The End of the Tour,2015-07-31,[18],7.078,522,8.112,249688
211,Vice,2015-01-16,"[53, 878, 28, 12]",4.367,518,27.153,307663
212,Freaks of Nature,2015-10-30,"[878, 35, 27]",6.147,515,15.061,218784
213,Good Kill,2015-05-15,[18],5.967,510,9.091,253626
214,Momentum,2015-10-16,"[28, 80, 53]",5.673,508,18.451,346808
215,Mistress America,2015-08-14,[35],6.559,506,13.597,309245
216,Little Boy,2015-04-23,"[35, 18, 10752]",7.2,501,11.363,256962
217,Deadpool,2016-02-12,"[28, 12, 35]",7.608,29435,287.758,293660
218,Captain America: Civil War,2016-05-06,"[12, 28, 878]",7.441,21909,81.127,271110
219,Doctor Strange,2016-11-04,"[28, 12, 14]",7.4,21320,56.728,284052
220,Suicide Squad,2016-08-05,"[28, 12, 14]",5.91,20447,40.369,297761
221,Fantastic Beasts and Where to Find Them,2016-11-18,"[14, 12]",7.329,18199,57.997,259316
222,Batman v Superman: Dawn of Justice,2016-03-25,"[28, 12, 14]",5.962,17395,59.827,209112
223,Arrival,2016-11-11,"[18, 878, 9648]",7.596,16952,57.678,329865
224,La La Land,2016-12-09,"[35, 18, 10749, 10402]",7.9,16000,45.956,313369
225,Zootopia,2016-03-04,"[16, 12, 10751, 35]",7.748,15599,85.474,269149
226,Rogue One: A Star Wars Story,2022-08-26,"[28, 12, 878]",7.488,14648,51.309,330459
227,Hacksaw Ridge,2016-11-04,"[18, 36, 10752]",8.192,13054,99.289,324786
228,Passengers,2016-12-21,"[18, 10749, 878]",6.94,12693,27.404,274870
229,X-Men: Apocalypse,2016-05-27,"[28, 12, 878, 14]",6.51,12433,64.724,246655
230,Moana,2016-11-23,"[12, 35, 10751, 16]",7.568,11812,25.971,277834
231,Me Before You,2016-06-03,"[18, 10749]",7.923,11755,142.995,296096
232,Finding Dory,2016-06-17,"[12, 16, 35, 10751]",7.043,11623,33.632,127380
233,Now You See Me 2,2016-06-10,"[80, 53, 28, 9648]",6.828,10356,39.188,291805
234,Miss Peregrine's Home for Peculiar Children,2016-09-30,"[14, 12]",6.827,9588,44.363,283366
235,Hidden Figures,2016-12-10,"[18, 36]",8.058,9175,40.439,381284
236,The Conjuring 2,2016-06-10,[27],7.293,7995,60.704,259693
237,The Secret Life of Pets,2016-07-08,"[12, 35, 16, 10751]",6.272,7793,16.013,328111
238,The Jungle Book,2016-04-15,"[10751, 12, 18, 14]",6.863,7783,37.332,278927
239,Sing,2016-12-21,"[16, 35, 10751, 10402]",7.109,7618,53.678,335797
240,10 Cloverfield Lane,2016-03-11,"[53, 878, 18, 27]",6.986,7526,30.008,333371
241,The Nice Guys,2016-05-20,"[35, 80, 28]",7.111,7477,27.249,290250
242,Assassin's Creed,2016-12-21,"[28, 12, 878]",5.421,7464,26.426,121856
243,Nocturnal Animals,2016-11-18,"[18, 53]",7.438,7357,22.931,340666
244,Don't Breathe,2016-08-26,"[53, 27]",7.01,7061,28.392,300669
245,Sausage Party,2016-08-12,"[12, 16, 35, 14]",5.745,6945,47.642,223702
246,Sully,2016-09-09,"[18, 36]",7.182,6849,26.552,363676
247,Moonlight,2016-10-21,[18],7.391,6763,20.145,376867
248,Nerve,2016-07-27,"[9648, 12, 80]",7.037,6626,19.083,328387
249,Warcraft,2016-06-10,"[28, 12, 14]",6.367,6499,39.737,68735
250,Star Trek Beyond,2016-07-22,"[28, 12, 878]",6.782,6357,34.577,188927
251,Allegiant,2016-03-18,"[12, 878, 28, 9648]",6.106,6341,29.005,262504
252,Lion,2016-11-25,[18],8.079,6316,28.667,334543
253,Alice Through the Looking Glass,2016-05-27,"[12, 10751, 14]",6.558,6161,40.771,241259
254,Captain Fantastic,2016-07-08,"[12, 18]",7.914,6144,25.107,334533
255,Ghostbusters,2016-07-15,"[28, 14, 35]",5.363,6099,33.296,43074
256,The Legend of Tarzan,2016-07-01,"[14, 28, 12]",5.898,6017,25.845,258489
257,Inferno,2016-10-28,"[9648, 53, 28]",6.06,6005,34.388,207932
258,Independence Day: Resurgence,2016-06-24,"[28, 12, 878]",5.291,5781,38.779,47933
259,The Accountant,2016-10-14,"[80, 53, 18]",7.072,5779,30.774,302946
260,The Magnificent Seven,2016-09-23,"[12, 28, 37]",6.429,5660,49.31,333484
261,Central Intelligence,2016-06-17,"[28, 35, 80, 9648]",6.414,5624,34.666,302699
262,Manchester by the Sea,2016-11-18,[18],7.546,5565,24.642,334541
263,The 5th Wave,2016-01-15,"[878, 12, 28]",5.945,5558,28.54,299687
264,Kung Fu Panda 3,2016-01-29,"[28, 12, 16, 35, 10751]",6.886,5537,70.219,140300
265,The Girl on the Train,2016-10-07,"[53, 9648, 18, 80]",6.435,5507,30.462,346685
266,Jason Bourne,2016-07-29,"[28, 53, 9648, 18]",6.3,5470,35.096,324668
267,Collateral Beauty,2016-12-16,"[18, 10749]",7.237,5192,19.725,345920
268,The Purge: Election Year,2016-07-01,"[28, 27, 53]",6.395,5042,32.881,316727
269,The Great Wall,2017-02-17,"[28, 12, 14]",6.01,4869,35.804,311324
270,The Shallows,2016-06-24,"[27, 18, 53]",6.348,4864,19.103,332567
271,The Huntsman: Winter's War,2016-04-22,"[28, 12, 18]",6.288,4647,28.994,290595
272,War Dogs,2016-08-19,"[35, 80, 18]",6.908,4643,30.958,308266
273,The Founder,2017-01-20,"[18, 36]",7.116,4636,41.314,310307
274,Jack Reacher: Never Go Back,2016-10-21,"[28, 53]",5.966,4627,62.367,343611
275,London Has Fallen,2016-03-04,"[28, 53]",6.188,4484,34.327,267860
276,Hush,2016-03-12,"[27, 53]",6.732,4395,15.751,376570
277,Allied,2016-11-23,"[28, 18, 10752, 10749, 53]",6.784,4333,30.852,369885
278,Deepwater Horizon,2016-09-30,"[18, 28]",6.865,4313,38.926,296524
279,Ice Age: Collision Course,2016-07-22,"[12, 16, 10751, 35]",6.1,4278,55.072,278154
280,Hell or High Water,2016-08-12,"[37, 80, 18]",7.299,4239,20.707,338766
281,Neighbors 2: Sorority Rising,2016-05-20,[35],5.818,4239,24.364,325133
282,Dirty Grandpa,2016-01-22,[35],5.924,4206,29.489,291870
283,Snowden,2016-09-16,"[18, 36, 80, 53]",7.102,4161,16.208,302401
284,Why Him?,2016-12-23,[35],6.371,3955,27.803,356305
285,Bad Moms,2016-07-29,[35],6.505,3950,28.703,376659
286,The Edge of Seventeen,2016-11-18,"[35, 18]",7.164,3900,20.628,376660
287,Gods of Egypt,2016-02-26,"[28, 12, 14]",5.646,3895,52.676,205584
288,Lights Out,2016-07-22,[27],6.3,3700,21.713,345911
289,The Boy,2016-01-22,"[27, 53, 9648]",5.947,3623,20.578,321258
290,"Hail, Caesar!",2016-02-05,"[35, 80, 9648]",5.915,3621,22.002,270487
291,The Neon Demon,2016-06-14,"[53, 27]",6.5,3586,19.147,301365
292,Underworld: Blood Wars,2017-01-06,"[14, 28, 53, 27]",5.853,3485,48.058,346672
293,The Angry Birds Movie,2016-05-20,"[16, 12, 35, 10751]",6.212,3464,32.967,153518
294,Kubo and the Two Strings,2016-08-19,"[16, 12, 10751]",7.636,3428,25.725,313297
295,Trolls,2016-11-04,"[10751, 16, 14, 12, 35, 10402]",6.664,3427,41.675,136799
296,Swiss Army Man,2016-06-24,"[35, 18, 10749, 14, 12]",6.925,3338,22.873,347031
297,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-03,"[28, 12, 35, 10751, 878]",6.01,3328,51.332,308531
298,13 Hours: The Secret Soldiers of Benghazi,2016-01-15,"[10752, 28, 36, 18]",7.275,3326,47.665,300671
299,The BFG,2016-07-01,"[12, 10751, 14]",6.251,3210,40.445,267935
300,A Monster Calls,2016-12-23,"[18, 14]",7.266,3182,25.595,258230
301,Mechanic: Resurrection,2016-08-26,"[28, 80, 53]",5.992,3180,58.571,278924
302,How to Be Single,2016-02-12,"[35, 10749]",6.248,3094,31.633,259694
303,Resident Evil: The Final Chapter,2017-01-27,"[28, 27, 878]",6.11,2948,2.082,173897
304,Silence,2016-12-23,"[18, 36]",7.125,2907,19.829,68730
305,Money Monster,2016-05-13,"[53, 18]",6.441,2817,15.494,303858
306,Café Society,2016-07-15,"[35, 18, 10749]",6.454,2594,13.798,339397
307,Green Room,2016-04-15,"[27, 80, 53]",6.722,2524,14.576,313922
308,Fences,2016-12-16,[18],6.872,2506,17.436,393457
309,Patriots Day,2016-12-21,"[28, 80, 18, 36, 53]",7.0,2466,31.729,388399
310,The Invitation,2016-04-08,"[53, 27]",6.463,2445,14.824,306947
311,Mike and Dave Need Wedding Dates,2016-07-08,[35],6.062,2379,18.834,316023
312,Ouija: Origin of Evil,2016-10-21,[27],6.1,2342,23.167,335796
313,Storks,2016-09-23,"[12, 16, 35, 10751]",6.638,2234,25.316,332210
314,Jackie,2016-12-02,[18],6.451,2226,14.572,376866
315,Grimsby,2016-03-11,"[28, 35]",5.943,2183,23.909,267193
316,Sing Street,2016-04-15,"[10749, 18, 10402]",7.873,2162,21.581,369557
317,Zoolander 2,2016-02-12,"[35, 12, 28]",4.902,2127,21.665,329833
318,Pete's Dragon,2016-08-12,"[12, 10751, 14]",6.383,2124,24.303,294272
319,The Fundamentals of Caring,2016-01-29,"[35, 18]",7.305,2097,12.611,318121
320,Pride and Prejudice and Zombies,2016-02-05,"[10749, 27, 35, 53]",6.1,2078,26.754,58431
321,Triple 9,2016-02-26,"[28, 80, 12, 53]",5.965,2019,16.033,146198
322,Eddie the Eagle,2016-02-26,"[35, 18, 36, 12]",7.18,2010,22.478,319888
323,Office Christmas Party,2016-12-09,[35],5.671,1973,20.553,384682
324,Hunt for the Wilderpeople,2016-06-24,"[12, 35, 18]",7.678,1930,19.627,371645
325,Keeping Up with the Joneses,2016-10-21,"[28, 35]",6.1,1921,18.701,331313
326,Blair Witch,2016-09-16,"[53, 27]",5.2,1822,20.463,351211
327,The Choice,2016-02-05,"[18, 10749]",7.178,1803,20.083,330483
328,Midnight Special,2016-03-18,"[12, 18, 878]",6.225,1795,14.555,245703
329,Paterson,2016-12-28,"[18, 35, 10749]",7.1,1779,11.449,370755
330,Before I Wake,2018-01-05,"[18, 14, 27, 53]",6.489,1761,13.319,301804
331,Batman: The Killing Joke,2016-07-22,"[28, 16, 80, 18]",6.591,1727,16.613,382322
332,Miss Sloane,2016-11-25,"[18, 80]",7.449,1683,22.552,376290
333,The Forest,2016-01-08,"[27, 53, 9648]",5.224,1666,18.049,329440
